VideoID,StartTime,EndTime,Label,MisalignmentType,Category,FilePath
RUhOCu3LNXM,0.0,1.67,Positive,None,Church bell,../data_samples/generated_samples/RUhOCu3LNXM_0.00_1.67_good.mp4
RUhOCu3LNXM,1.67,6.62,Positive,None,Church bell,../data_samples/generated_samples/RUhOCu3LNXM_1.67_6.62_good.mp4
RUhOCu3LNXM,6.62,7.96,Positive,None,Church bell,../data_samples/generated_samples/RUhOCu3LNXM_6.62_7.96_good.mp4
RUhOCu3LNXM,7.96,10.0,Negative,time_shift,Church bell,../data_samples/generated_samples/RUhOCu3LNXM_7.96_10.00_bad_time_shift.mp4
MH3m4AwEcRY,6.0,7.0,Positive,None,Church bell,../data_samples/generated_samples/MH3m4AwEcRY_6.00_7.00_good.mp4
MH3m4AwEcRY,7.0,8.0,Positive,None,Church bell,../data_samples/generated_samples/MH3m4AwEcRY_7.00_8.00_good.mp4
2An2JMGMbbs,0.0,4.9,Negative,noise,Church bell,../data_samples/generated_samples/2An2JMGMbbs_0.00_4.90_bad_noise.mp4
2An2JMGMbbs,4.9,7.04,Negative,mute,Church bell,../data_samples/generated_samples/2An2JMGMbbs_4.90_7.04_bad_mute.mp4
2An2JMGMbbs,7.04,8.25,Negative,noise,Church bell,../data_samples/generated_samples/2An2JMGMbbs_7.04_8.25_bad_noise.mp4
2An2JMGMbbs,8.25,10.0,Positive,None,Church bell,../data_samples/generated_samples/2An2JMGMbbs_8.25_10.00_good.mp4
WM5R44UMLq0,0.0,1.72,Negative,mute,Church bell,../data_samples/generated_samples/WM5R44UMLq0_0.00_1.72_bad_mute.mp4
WM5R44UMLq0,1.72,5.11,Negative,time_shift,Church bell,../data_samples/generated_samples/WM5R44UMLq0_1.72_5.11_bad_time_shift.mp4
WM5R44UMLq0,5.11,10.0,Positive,None,Church bell,../data_samples/generated_samples/WM5R44UMLq0_5.11_10.00_good.mp4
5wHd0VafUAA,0.0,1.55,Negative,noise,Church bell,../data_samples/generated_samples/5wHd0VafUAA_0.00_1.55_bad_noise.mp4
5wHd0VafUAA,1.55,4.44,Positive,None,Church bell,../data_samples/generated_samples/5wHd0VafUAA_1.55_4.44_good.mp4
5wHd0VafUAA,4.44,10.0,Positive,None,Church bell,../data_samples/generated_samples/5wHd0VafUAA_4.44_10.00_good.mp4
AiJTCFtN0BY,1.0,2.77,Positive,None,Church bell,../data_samples/generated_samples/AiJTCFtN0BY_1.00_2.77_good.mp4
