VideoID,StartTime,EndTime,Label,MisalignmentType,Category,FilePath
RUhOCu3LNXM,0.0,4.56,Positive,None,Church bell,../data_samples/generated_samples2/RUhOCu3LNXM_0.00_4.56_good.mp4
RUhOCu3LNXM,4.56,6.65,Positive,None,Church bell,../data_samples/generated_samples2/RUhOCu3LNXM_4.56_6.65_good.mp4
RUhOCu3LNXM,6.65,9.02,Positive,None,Church bell,../data_samples/generated_samples2/RUhOCu3LNXM_6.65_9.02_good.mp4
MH3m4AwEcRY,6.0,8.0,Positive,None,Church bell,../data_samples/generated_samples2/MH3m4AwEcRY_6.00_8.00_good.mp4
2An2JMGMbbs,0.0,4.36,Positive,None,Church bell,../data_samples/generated_samples2/2An2JMGMbbs_0.00_4.36_good.mp4
2An2JMGMbbs,4.36,6.48,Positive,None,Church bell,../data_samples/generated_samples2/2An2JMGMbbs_4.36_6.48_good.mp4
2An2JMGMbbs,6.48,8.62,Negative,noise,Church bell,../data_samples/generated_samples2/2An2JMGMbbs_6.48_8.62_bad_noise.mp4
WM5R44UMLq0,0.0,3.8,Positive,None,Church bell,../data_samples/generated_samples2/WM5R44UMLq0_0.00_3.80_good.mp4
WM5R44UMLq0,3.8,6.91,Negative,mute,Church bell,../data_samples/generated_samples2/WM5R44UMLq0_3.80_6.91_bad_mute.mp4
WM5R44UMLq0,6.91,9.86,Negative,noise,Church bell,../data_samples/generated_samples2/WM5R44UMLq0_6.91_9.86_bad_noise.mp4
5wHd0VafUAA,0.0,2.86,Negative,mute,Church bell,../data_samples/generated_samples2/5wHd0VafUAA_0.00_2.86_bad_mute.mp4
5wHd0VafUAA,2.86,7.91,Negative,mute,Church bell,../data_samples/generated_samples2/5wHd0VafUAA_2.86_7.91_bad_mute.mp4
5wHd0VafUAA,7.91,9.92,Positive,None,Church bell,../data_samples/generated_samples2/5wHd0VafUAA_7.91_9.92_good.mp4
AiJTCFtN0BY,1.0,3.73,Positive,None,Church bell,../data_samples/generated_samples2/AiJTCFtN0BY_1.00_3.73_good.mp4
Zlwu4AROYzg,0.0,5.89,Negative,noise,Church bell,../data_samples/generated_samples2/Zlwu4AROYzg_0.00_5.89_bad_noise.mp4
Zlwu4AROYzg,5.89,8.69,Positive,None,Church bell,../data_samples/generated_samples2/Zlwu4AROYzg_5.89_8.69_good.mp4
gjCew0Kp0iM,0.0,2.18,Positive,None,Church bell,../data_samples/generated_samples2/gjCew0Kp0iM_0.00_2.18_good.mp4
gjCew0Kp0iM,2.18,5.09,Positive,None,Church bell,../data_samples/generated_samples2/gjCew0Kp0iM_2.18_5.09_good.mp4
gjCew0Kp0iM,5.09,7.93,Negative,mute,Church bell,../data_samples/generated_samples2/gjCew0Kp0iM_5.09_7.93_bad_mute.mp4
gjCew0Kp0iM,7.93,9.94,Negative,mute,Church bell,../data_samples/generated_samples2/gjCew0Kp0iM_7.93_9.94_bad_mute.mp4
eRF4KAXdn0w,6.0,8.33,Negative,time_shift,Church bell,../data_samples/generated_samples2/eRF4KAXdn0w_6.00_8.33_bad_time_shift.mp4
3IQHzT5O89g,0.0,4.54,Negative,distort,Church bell,../data_samples/generated_samples2/3IQHzT5O89g_0.00_4.54_bad_distort.mp4
3IQHzT5O89g,4.54,8.39,Negative,noise,Church bell,../data_samples/generated_samples2/3IQHzT5O89g_4.54_8.39_bad_noise.mp4
Hhqvvc4qu2Y,0.0,4.74,Positive,None,Church bell,../data_samples/generated_samples2/Hhqvvc4qu2Y_0.00_4.74_good.mp4
Gavpgq1WWh4,0.0,2.0,Positive,None,Church bell,../data_samples/generated_samples2/Gavpgq1WWh4_0.00_2.00_good.mp4
bzWIuMC8Vl8,0.0,5.22,Negative,noise,Church bell,../data_samples/generated_samples2/bzWIuMC8Vl8_0.00_5.22_bad_noise.mp4
bzWIuMC8Vl8,5.22,8.34,Negative,distort,Church bell,../data_samples/generated_samples2/bzWIuMC8Vl8_5.22_8.34_bad_distort.mp4
nRKU5Ns6cnU,0.0,5.54,Positive,None,Church bell,../data_samples/generated_samples2/nRKU5Ns6cnU_0.00_5.54_good.mp4
nRKU5Ns6cnU,5.54,9.12,Negative,noise,Church bell,../data_samples/generated_samples2/nRKU5Ns6cnU_5.54_9.12_bad_noise.mp4
aAM11PIFB4I,0.0,2.99,Negative,distort,Church bell,../data_samples/generated_samples2/aAM11PIFB4I_0.00_2.99_bad_distort.mp4
aAM11PIFB4I,2.99,7.24,Negative,noise,Church bell,../data_samples/generated_samples2/aAM11PIFB4I_2.99_7.24_bad_noise.mp4
aAM11PIFB4I,7.24,9.44,Positive,None,Church bell,../data_samples/generated_samples2/aAM11PIFB4I_7.24_9.44_good.mp4
-J2WJaG1Dd4,0.0,4.04,Positive,None,Church bell,../data_samples/generated_samples2/-J2WJaG1Dd4_0.00_4.04_good.mp4
-J2WJaG1Dd4,4.04,6.4,Negative,time_shift,Church bell,../data_samples/generated_samples2/-J2WJaG1Dd4_4.04_6.40_bad_time_shift.mp4
-J2WJaG1Dd4,6.4,8.48,Negative,distort,Church bell,../data_samples/generated_samples2/-J2WJaG1Dd4_6.40_8.48_bad_distort.mp4
HE6-xn3yROY,0.0,4.12,Positive,None,Church bell,../data_samples/generated_samples2/HE6-xn3yROY_0.00_4.12_good.mp4
